SpotOn_field,Clue_field,Clue_datatype,Clue_value
,day,,
ActionSick,ailment,array,allergy_ailment
,ailment,array,cold_flu_ailment
,ailment,array,fever_ailment
,ailment,array,injury_ailment
,appointment,array,date_appointment
,appointment,array,doctor_appointment
,appointment,array,ob_gyn_appointment
,appointment,array,vacation_appointment
,bbt.is_celsius,boolean,
,bbt.is_questionable,boolean,
,bbt.temperature,float,
,collection_method,array,menstrual_cup_collection_method
,collection_method,array,pad_collection_method
,collection_method,array,panty_liner_collection_method
,collection_method,array,tampon_collection_method
,craving,array,carbs_craving
,craving,array,chocolate_craving
,craving,array,salty_craving
,craving,array,sweet_craving
BodyBloating,digestion,array,bloated
,digestion,array,gassy
,digestion,array,great_digestion
BodyNausea,digestion,array,nauseated
,energy,array,energized
BodyFatigue,energy,array,exhausted
,energy,array,high
,energy,array,low
,exercise,array,biking
,exercise,array,running
,exercise,array,swimming
,exercise,array,yoga
,fluid,text,egg-white
,fluid,text,sticky
,fluid,text,creamy
,fluid,text,atypical
,hair,array,bad_hair
,hair,array,dry_hair
,hair,array,good_hair
,hair,array,oily_hair
,injection,text,administered
,iud,text,thread_checked
,iud,text,inserted
,iud,text,removed
,medication,array,antibiotic_medication
,medication,array,antihistamine_medication
,medication,array,cold_flu_medication
,medication,array,pain_medication
MoodFine,mental,array,calm
,mental,array,distracted
,mental,array,focused
MoodStressed,mental,array,stressed
MoodHappy,mood,array,happy
,mood,array,pms
MoodSad,mood,array,sad
,mood,array,sensitive
,motivation,array,motivated
,motivation,array,productive
,motivation,array,unmotivated
,motivation,array,unproductive
BodyCramps,pain,array,cramps
BodyHeadache,pain,array,headache
,pain,array,ovulation_pain
BodyTenderBreasts,pain,array,tender_breasts
,party,array,big_night_party
,party,array,cigarettes
,party,array,drinks_party
,party,array,hangover
,patch,text,replaced_late
,patch,text,replaced
,patch,text,removed
,patch,text,removed_late
FlowSpotting,period,text,spotting
FlowLight,period,text,light
FlowMedium,period,text,medium
FlowHeavy,period,text,heavy
RenewableTaken,pill,text,taken
,pill,text,late
RenewableMissed,pill,text,missed
RenewableMissedAcknowledged,pill,text,missed
,pill,text,double
,poop,array,constipated
,poop,array,diarrhea
,poop,array,great_poop
,poop,array,normal_poop
RenewableRingOut,ring,text,removed
RenewableRingIn,ring,text,replaced
,ring,text,removed_late
,ring,text,replaced_late
,sex,array,unprotected
ActionHadSex,sex,array,protected
MoodFrisky,sex,array,high_sex_drive
,sex,array,withdrawal
BodyAcne,skin,array,acne_skin
,skin,array,dry_skin
,skin,array,good_skin
,skin,array,oily_skin
,sleep,text,0_to_3_hours
,sleep,text,3_to_6_hours
,sleep,text,6_to_9_hours
,sleep,text,9_hours_or_more
,social,array,conflict_social
,social,array,sociable
,social,array,supportive_social
,social,array,withdrawn_social
,test,array,ovulation_test_neg
,test,array,ovulation_test_pos
,test,array,pregnancy_test_neg
,test,array,pregnancy_test_pos
,weight.is_kilogram,boolean,
,weight.weight,float,
BodyDizziness,tags,array,dizziness
BodyStomachAche,tags,array,stomachache
MoodFabulous,tags,array,fabulous
MoodAngry,tags,array,angry
MoodBlah,tags,array,blah
MoodIrritable,tags,array,irritable
ActionAteHealthy,tags,array,ate healthy
ActionAteJunk,tags,array,ate junk
ActionCouldntSleep,tags,array,couldn't sleep
ActionExercised,tags,array,exercised
ActionSleptWell,tags,array,slept well
ActionTraveled,tags,array,traveled
RenewableHormoneFreeIgnored,tags,array,placebo ignored
RenewablePatchFellOff,tags,array,patch fell off
ShotLateAcknowledged,tags,array,injection late
